nama_hotel,kelurahan,kecamatan,bintang,jumlah_kamar,jumlah_tempat_tidur,tahun,bulan,wisman,wisnus,kmr,pax,rm_ava,okupansi
ROYAL SUITE HOTEL,Sepinggan,Balikpapan Selatan,Bintang 3,26,26,2019,08,0,571,440,571,806,"54,59"
ADHIKA BAHTERA HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 3,155,205,2019,08,0,210,564,210,4805,"11,74"
MIRAMA HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 3,108,173,2019,08,2,1.675,1.120,1.677,3348,"33,45"
HER HOTEL & TRADE CENTER,Gn. Samarinda,Balikpapan Utara,Bintang 3,154,200,2019,08,0,0,0,0,4774,"0,00"
FAVE HOTEL,Damai,Balikpapan Selatan,Bintang 3,112,158,2019,08,0,0,0,0,3472,"0,00"
D'PRIMA RUKO BANDAR,Klandasan Ulu,Balikpapan Kota,Bintang 3,81,81,2019,08,0,0,0,0,2511,"0,00"
THE POINT HOTEL,Damai,Balikpapan Selatan,Bintang 2,33,33,2019,08,0,0,0,0,1023,"0,00"
MIDTOWN XPRESS,Damai,Balikpapan Kota,Bintang 2,115,174,2019,08,15,1.471,1.486,1.486,3565,"41,68"
SEVENSIX HOTEL,Gn. Bahagia,Balikpapan Selatan,Bintang 2,35,42,2019,08,0,2.598,1.299,2.598,1085,"119,72"
BUANA LESTARI HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 2,50,58,2019,08,0,1.145,746,1.145,1550,"48,13"
SEPINGGAN HOTEL,Sepinggan Raya,Balikpapan Selatan,Bintang 2,101,119,2019,08,9,904,360,913,3131,"11,50"
HAAI HOTEL,Gn. Bahagia,Balikpapan Selatan,Bintang 2,112,158,2019,08,31,83,114,114,3472,"3,28"
CITY HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 2,57,76,2019,08,0,0,1.926,0,1767,"109,00"
MUTIARA INDAH HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 2,38,40,2019,08,0,1.812,906,1.812,1178,"76,91"
D'PRIMA MT HARYONO,Damai,Balikpapan Kota,Bintang 2,112,112,2019,08,0,0,0,0,3472,"0,00"
AIQO,Klandasan Ilir,Balikpapan Kota,Bintang 1,51,57,2019,08,0,171,157,171,1581,"9,93"
BINTANG HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 1,68,68,2019,08,0,0,0,0,2108,"0,00"
BANDARA CITA AMADANA HOTEL,Sepinggan,Balikpapan Selatan,Bintang 1,41,54,2019,08,0,0,0,0,1271,"0,00"
NUANSA INDAH HOTEL,Damai,Balikpapan Kota,Bintang 1,166,244,2019,08,7,1.702,0,1.709,5146,"0,00"
HOTEL HERLY,Damai,Balikpapan Selatan,Bintang 1,35,45,2019,08,0,578,0,578,1085,"0,00"
BANDARA INTERNATIONAL HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 1,41,54,2019,08,0,0,0,0,1271,"0,00"
THE TANG HOTEL,Batu Ampar,Balikpapan Utara,Bintang 1,44,44,2019,08,0,0,0,0,1364,"0,00"
KEMALA BEACH RESORT,Prapatan,Balikpapan Selatan,Bintang 1,45,45,2019,08,0,0,0,0,1395,"0,00"
J- ICON HIP HOTEL,Damai Bahagia,Balikpapan Selatan,Melati,30,30,2019,08,5,744,384,749,930,"41,29"
SEJATI HOTEL,Damai,Balikpapan Selatan,Melati,25,25,2019,08,0,0,0,0,775,"0,00"
ATHAR 88,Sungai Nangka,Balikpapan Selatan,Melati,74,74,2019,08,0,0,0,0,2294,"0,00"
CITRA RASA NUSANTARA,Klandasan Ilir,Balikpapan Selatan,Melati,78,123,2019,08,0,175,90,175,2418,"3,72"
ANDHIKA HOTEL,Marga Sari,Balikpapan Barat,Melati,17,29,2019,08,0,210,210,210,527,"39,85"
MAHAKAM HOTEL,Karang Rejo,Balikpapan Tengah,Melati,31,37,2019,08,0,283,283,283,961,"29,45"
GRAND SENYIUR HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 5,181,221,2020,08,5,762,508,767,5611,"9,05"
NOVOTEL HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 5,198,267,2020,08,234,1.726,1.960,1.960,6138,"31,93"
GRAND JATRA HOTEL,Damai Bahagia,Balikpapan Selatan,Bintang 5,215,296,2020,08,0,2.257,2.257,2.257,6665,"33,86"
FOUR POINS,Sepinggan Raya,Balikpapan Selatan,Bintang 4,138,168,2020,08,4,2.244,1.586,2.248,4278,"37,07"
PLATINUM HOTEL,Graha Indah,Balikpapan Utara,Bintang 4,200,312,2020,08,116,2.667,1.676,2.783,6200,"27,03"
BLUE SKY,Marga Sari,Balikpapan Barat,Bintang 4,122,140,2020,08,79,2.152,1.699,2.231,3782,"44,92"
PENTACITY HOTEL,Damai Bahagia,Balikpapan Selatan,Bintang 4,80,90,2020,08,0,0,0,0,2480,"0,00"
GRAND TJKORO,Sepinggan Raya,Balikpapan Selatan,Bintang 4,148,224,2020,08,16,2.403,1.676,2.419,4588,"36,53"
HORISON ULTIMA,Sepinggan,Balikpapan Selatan,Bintang 4,130,130,2020,08,0,0,0,0,4030,"0,00"
GOLDEN TULIP HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 4,150,255,2020,08,85,5.319,2.667,5.404,4650,"57,35"
