nama_hotel,kelurahan,kecamatan,bintang,jumlah_kamar,jumlah_tempat_tidur,tahun,bulan,wisman,wisnus,kmr,pax,rm_ava,okupansi
BDI TOWN HOUSE,Gn. Bahagia,Balikpapan Selatan,Bintang 3,85,170,2020,06,119,203,161,322,2635,"6,11"
IBIS HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 3,155,237,2020,06,60,1.912,1.972,1.972,4805,"41,04"
SWISS BELL INN,Damai,Balikpapan Kota,Bintang 3,98,98,2020,06,31,507,436,538,3038,"14,35"
ZURICH HOTEL,Damai,Balikpapan Kota,Bintang 3,166,166,2020,06,0,1.322,784,1.322,5146,"15,24"
MAX ONE,Damai,Balikpapan Selatan,Bintang 3,30,43,2020,06,12,4.034,2.473,4.046,930,"265,91"
HORISON SAGITA,Klandasan Ilir,Balikpapan Kota,Bintang 3,79,79,2020,06,0,1.916,1.814,1.916,2449,"74,07"
MEGA LESTARI HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 3,155,237,2020,06,0,1.515,795,1.515,4805,"16,55"
BEST INN,Gn. Bahagia,Balikpapan Selatan,Bintang 3,53,72,2020,06,0,0,0,0,1643,"0,00"
THE STAR HILL,Damai Bahagia,Balikpapan Selatan,Bintang 3,133,197,2020,06,0,0,0,0,4123,"0,00"
ROYAL SUITE HOTEL,Sepinggan,Balikpapan Selatan,Bintang 3,112,172,2020,06,0,0,0,0,3472,"0,00"
ADHIKA BAHTERA HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 3,155,205,2020,06,0,0,0,0,4805,"0,00"
MIRAMA HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 3,108,173,2020,06,0,445,235,445,3348,"7,02"
FAVE HOTEL,Damai,Balikpapan Selatan,Bintang 2,73,73,2020,06,0,664,399,664,2263,"17,63"
D'PRIMA RUKO BANDAR,Klandasan Ulu,Balikpapan Kota,Bintang 3,81,81,2020,06,0,0,0,0,2511,"0,00"
THE POINT HOTEL,Damai,Balikpapan Selatan,Bintang 2,33,33,2020,06,0,0,0,0,1023,"0,00"
MIDTOWN XPRESS,Damai,Balikpapan Kota,Bintang 2,115,174,2020,06,1,1.097,1.098,1.098,3565,"30,80"
SEVENSIX HOTEL,Gn. Bahagia,Balikpapan Selatan,Bintang 2,35,42,2020,06,0,2.082,1.041,2.082,1085,"95,94"
BUANA LESTARI HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 2,50,58,2020,06,0,0,0,0,1550,"0,00"
SEPINGGAN HOTEL,Sepinggan Raya,Balikpapan Selatan,Bintang 2,101,119,2020,06,0,184,101,184,3131,"3,23"
HAAI HOTEL,Gn. Bahagia,Balikpapan Selatan,Bintang 2,112,158,2020,06,31,49,80,80,3472,"2,30"
CITY HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 2,57,76,2020,06,0,0,0,0,1767,"0,00"
MUTIARA INDAH HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 2,38,40,2020,06,0,1.246,623,1.246,1178,"52,89"
D'PRIMA MT HARYONO,Damai,Balikpapan Kota,Bintang 2,112,112,2020,06,0,0,0,0,3472,"0,00"
AIQO,Klandasan Ilir,Balikpapan Kota,Bintang 1,51,57,2020,06,0,68,35,68,1581,"2,21"
